scenario_id,priority,surface_ids,category,scenario_status,evidence_type,evidence_status,attempt_count,reason_code,fresh_visual_pair,retry_or_recovery_seen,boundary_safely_held,defect_alias,defect_reference
QA-044-001,P0,SURF-INSTALL-001,intake,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-002,P0,SURF-START-001,startup,confirmed_defect,physical_runtime,confirmed,1,confirmed_runtime_defect,true,false,true,TASK044-DEFECT-LOADER-001,docs/qa/defects/task044_loader_timeout_after_ambient_recovery.md
QA-044-003,P0,SURF-START-002,startup,observed_fail,physical_runtime,confirmed,1,retry_recovery_stale_or_oracle_failure_retained,true,false,true,none,none
QA-044-004,P0,SURF-START-001;SURF-CATALOG-001,negative,confirmed_defect,physical_runtime,confirmed,1,confirmed_runtime_defect,true,false,true,TASK044-DEFECT-LOADER-001,docs/qa/defects/task044_loader_timeout_after_ambient_recovery.md
QA-044-005,P0,SURF-AUTH-001,auth,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-006,P0,SURF-AUTH-002;SURF-PERSIST-001,session,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-007,P0,SURF-AUTH-002;SURF-PERSIST-001,session,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-008,P0,SURF-CATALOG-001,catalog,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-009,P0,SURF-CATALOG-002,catalog,observed_fail,physical_runtime,confirmed,1,retry_recovery_stale_or_oracle_failure_retained,true,false,true,none,none
QA-044-010,P0,SURF-FOCUS-001,focus,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-011,P0,SURF-FOCUS-002,negative,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-012,P0,SURF-SEARCH-001,search,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-013,P0,SURF-SEARCH-001;SURF-ROUTE-001,search,blocked_by_oracle,physical_runtime,confirmed,1,tooling_input_unsupported,true,false,true,none,none
QA-044-014,P0,SURF-SEARCH-002,negative,observed_fail,physical_runtime,confirmed,1,retry_recovery_stale_or_oracle_failure_retained,true,false,true,none,none
QA-044-015,P0,SURF-SEARCH-002,recovery,observed_fail,physical_runtime,confirmed,2,retry_recovery_stale_or_oracle_failure_retained,true,true,true,none,none
QA-044-016,P0,SURF-SETTINGS-001,settings,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-017,P0,SURF-SETTINGS-002;SURF-INPUT-001,settings,observed_fail,physical_runtime,confirmed,1,retry_recovery_stale_or_oracle_failure_retained,true,false,true,none,none
QA-044-018,P0,SURF-SETTINGS-002,negative,observed_fail,physical_runtime,confirmed,1,retry_recovery_stale_or_oracle_failure_retained,true,false,true,none,none
QA-044-019,P0,SURF-DETAIL-001,detail,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-020,P0,SURF-DETAIL-002,detail,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-021,P0,SURF-BOUNDARY-001;SURF-STREAM-001,boundary,observed_fail,physical_runtime,confirmed,2,retry_recovery_stale_or_oracle_failure_retained,true,true,false,none,none
QA-044-022,P1,SURF-BOUNDARY-002,boundary,observed_fail,physical_runtime,confirmed,1,retry_recovery_stale_or_oracle_failure_retained,true,false,false,none,none
QA-044-023,P0,SURF-NAV-001,navigation,observed_fail,physical_runtime,confirmed,1,retry_recovery_stale_or_oracle_failure_retained,true,false,false,none,none
QA-044-024,P0,SURF-NAV-002,lifecycle,blocked_by_oracle,mapped_only,unknown,0,partial_family_home_return_not_executed,false,false,true,none,none
QA-044-025,P0,SURF-PERSIST-002,lifecycle,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-026,P0,SURF-NAV-003;SURF-FOCUS-002,system,observed_fail,physical_runtime,confirmed,2,retry_recovery_stale_or_oracle_failure_retained,true,true,true,none,none
QA-044-027,P1,SURF-ROUTE-002,deeplink,blocked_by_oracle,mapped_only,unknown,0,qa044_027_runtime_prerequisite_unavailable,false,false,true,none,none
QA-044-028,P0,SURF-LOG-001,privacy,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-029,P0,SURF-PERF-001,stability,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-030,P0,SURF-USABILITY-001,evidence,observed_pass,physical_runtime,confirmed,1,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-031,P1,SURF-START-002;SURF-PERSIST-001,repeatability,observed_pass,physical_runtime,confirmed,3,fresh_physical_visual_oracle_pass,true,false,true,none,none
QA-044-032,P0,SURF-RELEASE-001,closure,observed_fail,physical_runtime,confirmed,2,retry_recovery_stale_or_oracle_failure_retained,true,true,true,none,none
