surface_id,risk,category,public_safe_description,applicable_families,primary_tasks,runtime_oracle,evidence_status,scenario_ids,scenario_count
SURF-START-001,R0,startup,Cold/process start and first actionable state,all,"042,044,046,047,048,054",ready-state visual+focus oracle; loader timeout,hypothesis_until_runtime_or_sanitized_artifact,QA-042-007;QA-042-008;QA-042-009;QA-044-002;QA-044-004;QA-046-002;QA-047-002;QA-049-012;QA-054-001,9
SURF-START-002,R1,startup,Warm foreground and state restoration,all,"044,046,047,050,054",foreground ready state and focus,hypothesis_until_runtime_or_sanitized_artifact,QA-044-003;QA-044-031;QA-054-002,3
SURF-AUTH-001,R0,auth,Authentication guard and post-auth entry,all app families,"044,045,046,047,049,051",screen/state category; no raw credentials,hypothesis_until_runtime_or_sanitized_artifact,QA-044-005;QA-046-003;QA-047-003,3
SURF-AUTH-002,R0,session,Session persistence and invalidation,all app families,"044,046,047,050",observed auth/session state after lifecycle,hypothesis_until_runtime_or_sanitized_artifact,QA-044-006;QA-044-007,2
SURF-AUTH-003,R0,pair_auth,Cross-device same-account/session gating,TV+phone,045,paired success/denial state on both devices,hypothesis_until_runtime_or_sanitized_artifact,QA-045-005,1
SURF-AUTH-004,R1,auth_edges,OTP/captcha/legal/error/retry boundaries,applicable,"044,049,051",counter/error/recurrence state without mutation,hypothesis_until_runtime_or_sanitized_artifact,QA-049-014,1
SURF-ROUTE-001,R1,route,Encoded route/search parameter handling,applicable,"044,049",target or safe rejection; no crash,hypothesis_until_runtime_or_sanitized_artifact,QA-044-013;QA-049-018,2
SURF-ROUTE-002,R1,deeplink,Deep-link/component entry boundary,applicable,"044,049",safe route or explicit denial,hypothesis_until_runtime_or_sanitized_artifact,QA-044-027;QA-049-018,2
SURF-CATALOG-001,R0,catalog,Actionable catalog readiness versus loader,TV/STB,"044,046,047,049",actionable content/focus,hypothesis_until_runtime_or_sanitized_artifact,QA-044-004;QA-044-008;QA-046-004;QA-047-004;QA-049-012,5
SURF-CATALOG-002,R1,catalog_lists,"Rails, grids, lazy loading and boundaries",TV/STB,"044,046,047,049",focus/scroll/category sampling,hypothesis_until_runtime_or_sanitized_artifact,QA-044-009;QA-049-006;QA-049-007,3
SURF-SEARCH-001,R0,search,"Search entry, query and result states",TV/phone applicable,"044,046,047,049,051",screen/query/result/error state,hypothesis_until_runtime_or_sanitized_artifact,QA-044-012;QA-044-013;QA-046-005;QA-047-005;QA-049-008,5
SURF-SEARCH-002,R0,search_keyboard,TV keyboard and Back/Escape recovery,TV/STB,"044,046,047,049,052",keyboard closes; focus returns or defect,hypothesis_until_runtime_or_sanitized_artifact,QA-044-014;QA-044-015;QA-046-006;QA-047-006;QA-049-008;QA-052-005,6
SURF-DETAIL-001,R0,game_detail,Game card to detail transition,TV/STB,"044,046,047,049",detail family and Back edge,hypothesis_until_runtime_or_sanitized_artifact,QA-044-019;QA-046-008;QA-047-008;QA-049-010,4
SURF-DETAIL-002,R0,server_list,Detail to server-list structure,TV/STB,"044,046,047,049,051",dynamic structure without fixed rows,hypothesis_until_runtime_or_sanitized_artifact,QA-044-020;QA-046-008;QA-047-008;QA-049-010,4
SURF-BOUNDARY-001,R0,payment_session_boundary,Payment or game-session safe stop,all applicable,"044,045,046,047,049",boundary evidence; no payment/start,hypothesis_until_runtime_or_sanitized_artifact,QA-044-021;QA-045-020;QA-046-009;QA-047-009;QA-049-011,5
SURF-BOUNDARY-002,R1,qr_boundary,QR capture/decoding category and no traversal,all applicable,"044,049",local-only target; public category,hypothesis_until_runtime_or_sanitized_artifact,QA-044-022;QA-049-011,2
SURF-SETTINGS-001,R1,settings,Settings root and safe navigation,TV/STB,"044,046,047,049",correct destination and focus,hypothesis_until_runtime_or_sanitized_artifact,QA-044-016;QA-046-007;QA-047-007;QA-049-009,4
SURF-SETTINGS-002,R0,settings_mutation_boundary,Gamepad path versus logout/account mutation,TV/STB,"044,046,047,049",Gamepad reached or logout cancel anomaly,hypothesis_until_runtime_or_sanitized_artifact,QA-044-017;QA-044-018;QA-046-007;QA-047-007;QA-049-009,5
SURF-PERSIST-001,R0,persistence,Session/preferences/cache retention and reset,all app families,"044,045,050",before/action/after state,hypothesis_until_runtime_or_sanitized_artifact,QA-044-006;QA-044-007;QA-044-031;QA-045-012;QA-050-007;QA-050-008;QA-050-011;QA-050-012;QA-050-013;QA-050-014;QA-050-015;QA-050-017,12
SURF-PERSIST-002,R0,process_recovery,Force-stop/process death/reboot recovery,all,"044,045,046,047,048,049,050",restored/new state explicitly observed,hypothesis_until_runtime_or_sanitized_artifact,QA-044-025;QA-045-013;QA-045-014;QA-046-011;QA-047-011;QA-048-010;QA-048-016;QA-049-005;QA-050-009;QA-050-010;QA-050-016,11
SURF-NAV-001,R0,back_navigation,Back edges and safe exit behavior,all,"044,046,047,049",parent/dialog/exit edge,hypothesis_until_runtime_or_sanitized_artifact,QA-044-023;QA-046-010;QA-047-010;QA-049-001;QA-049-002;QA-049-003,6
SURF-NAV-002,R0,home_foreground,HOME/background/foreground edges,all,"044,046,047,048,049",state/focus/session restore,hypothesis_until_runtime_or_sanitized_artifact,QA-044-024;QA-046-010;QA-047-010;QA-048-009;QA-049-003;QA-049-004,6
SURF-NAV-003,R1,system_overlay,Ambient/screensaver/system overlay recovery,TV/system,"044,048,049",system/app distinction and wake recovery,hypothesis_until_runtime_or_sanitized_artifact,QA-044-026;QA-049-017,2
SURF-FOCUS-001,R0,focus,Visible focus acquisition and traversal,TV/STB/system,"044,046,047,048,049,052,054",visual focus category before/after,hypothesis_until_runtime_or_sanitized_artifact,QA-044-010;QA-046-012;QA-047-012;QA-048-006;QA-049-015;QA-054-004,6
SURF-FOCUS-002,R0,focus_loss,"No-op, hidden focus, loss and recovery",TV/STB/system,"044,046,047,048,049,052",visual+tree mismatch aware,hypothesis_until_runtime_or_sanitized_artifact,QA-044-011;QA-044-026;QA-046-012;QA-047-012;QA-049-015;QA-052-018,6
SURF-PAIR-001,R0,pairing,TV discovery and pair handshake preconditions,TV+phone,045,consistent discovered/waiting/denied state,hypothesis_until_runtime_or_sanitized_artifact,QA-042-012;QA-045-001;QA-045-002;QA-045-003;QA-045-004;QA-045-005;QA-045-006,7
SURF-PAIR-002,R0,pair_lifecycle,"Pair lifecycle, reconnect and cleanup",TV+phone,"045,050,051,052,054",cross-device state timeline,hypothesis_until_runtime_or_sanitized_artifact,QA-045-007;QA-045-008;QA-045-012;QA-045-013;QA-045-014;QA-045-015;QA-045-016;QA-045-017;QA-045-018;QA-045-019;QA-050-014;QA-050-015;QA-051-012;QA-051-013;QA-051-014;QA-052-014,16
SURF-INPUT-001,R0,remote_input,D-pad/remote navigation and action mapping,TV/STB,"044,046,047,052,054",physical/synthetic evidence labelled,hypothesis_until_runtime_or_sanitized_artifact,QA-044-017;QA-052-001;QA-052-002;QA-052-003;QA-052-004;QA-052-019,6
SURF-INPUT-002,R1,keyboard_input,TV/external keyboard mapping and escape,TV/STB,052,input mapping and focus recovery,hypothesis_until_runtime_or_sanitized_artifact,QA-052-005;QA-052-006,2
SURF-INPUT-003,R1,physical_gamepad,Physical controller classify/hotplug/reconnect,TV/STB,052,physical device category and lifecycle,hypothesis_until_runtime_or_sanitized_artifact,QA-045-009;QA-045-010;QA-052-007;QA-052-008;QA-052-009;QA-052-010;QA-052-011;QA-052-012;QA-052-013;QA-052-019;QA-052-020,11
SURF-INPUT-004,R0,virtual_gamepad,Phone virtual gamepad enable/input/cleanup,TV+phone,"045,052,054",paired control state and visible response,hypothesis_until_runtime_or_sanitized_artifact,QA-045-011;QA-052-014;QA-052-015;QA-052-016;QA-052-017;QA-052-020,6
SURF-STREAM-001,R0,session_entry,Pre-stream/session entry boundary,TV+phone,"044,045,046,047,049",safe stop before paid/active session,hypothesis_until_runtime_or_sanitized_artifact,QA-044-021;QA-045-020,2
SURF-STREAM-002,R1,session_lifecycle,Session/DataChannel lifecycle observable cleanup,approved non-paid fixtures only,"045,051,052",enter/leave/reconnect cleanup if safely observable,hypothesis_until_runtime_or_sanitized_artifact,QA-045-013;QA-045-014;QA-045-016;QA-045-017;QA-045-018;QA-045-019;QA-051-008;QA-051-009;QA-051-012;QA-051-013;QA-051-014,11
SURF-NET-001,R0,network_states,Offline/error/retry/cache state,all,"044,049,051",distinct observable categories,hypothesis_until_runtime_or_sanitized_artifact,QA-049-013;QA-051-001;QA-051-002;QA-051-003;QA-051-005;QA-051-006;QA-051-007;QA-051-015;QA-051-016,9
SURF-NET-002,R0,reconnect,Network reconnect and cross-device asymmetry,all/paired,"045,051,054",first failure+recovery+duplicate check,hypothesis_until_runtime_or_sanitized_artifact,QA-045-016;QA-045-017;QA-045-018;QA-051-008;QA-051-009;QA-051-012;QA-051-013;QA-051-014;QA-054-007,9
SURF-NET-003,R1,cache_stale,Cache/stale data behavior,all,"050,051",cache/stale/error separation,hypothesis_until_runtime_or_sanitized_artifact,QA-050-012;QA-051-004,2
SURF-PROTO-001,R1,protocol_reconnect,Observable subscription/reconnect lifecycle,connected app lanes,051,UI/event behavior; no private payloads,hypothesis_until_runtime_or_sanitized_artifact,QA-051-008;QA-051-009;QA-051-011,3
SURF-PROTO-002,R1,duplicates,Duplicate visible event/notification detection,connected app lanes,051,event recurrence count and trigger,hypothesis_until_runtime_or_sanitized_artifact,QA-051-010,1
SURF-LAUNCHER-001,R0,launcher_inventory,Launcher/system cluster and target compatibility,FogPlay Stick,"042,048,055",separate contour and actual target,hypothesis_until_runtime_or_sanitized_artifact,QA-042-005;QA-042-006;QA-042-015;QA-048-001;QA-048-002,5
SURF-LAUNCHER-002,R0,launcher_boot,Boot/direct-boot/HOME ownership,FogPlay Stick,048,boot timeline and foreground state,hypothesis_until_runtime_or_sanitized_artifact,QA-048-004;QA-048-005,2
