anomaly_id,scenario_id,attempt_id,trigger_category,expected_result_category,observed_result_category,public_safe_screen_alias,classification,evidence_status,cause_evidence_status,cause_category,test_design_implication,first_failure_retained,reason_code
TASK045-PROCESS-ANOMALY-001,none,none,alias_map_schema_introspection,sanitized_counts_and_public_aliases,raw_mapping_keys_in_ephemeral_output,local_tool_output,tooling_defect,confirmed,likely,local_schema_assumption,validate_local_shape_before_sanitized_projection,true,ephemeral_raw_key_output_not_published
TASK045-PROCESS-ANOMALY-002,none,none,focused_contract_test_run,all_task045_tests_pass,temporary_test_regression,repository_test_runner,tooling_defect,confirmed,confirmed,validator_edit_and_fixture_mismatch,retain_first_failure_and_require_clean_rerun,true,builder_test_regression_remediated
TASK045-PROCESS-ANOMALY-003,none,none,installed_build_metadata_comparison,sanitized_metadata_classification,shell_json_conversion_option_unavailable,local_metadata_parser,tooling_defect,confirmed,likely,shell_version_compatibility_gap,use_property_lookup_and_retain_first_tooling_failure,true,local_parser_compatibility_gap
TASK045-PROCESS-ANOMALY-004,none,none,first_complete_phone_checkpoint_capture,screenshot_tree_and_bounded_log,pull_stderr_promoted_to_terminating_error,phone_catalog_capture_incomplete,tooling_defect,confirmed,likely,local_shell_stderr_handling,reuse_stored_screenshot_and_capture_only_missing_modalities,true,adb_pull_stderr_helper_failure
TASK045-PROCESS-ANOMALY-005,none,none,catalog_and_history_scroll_probe,visible_list_movement,fixed_coordinates_outside_display,phone-list-initial-segment,tooling_defect,confirmed,confirmed,local_scroll_coordinate_bug,derive_bounded_coordinates_and_allow_one_corrected_gesture,true,out_of_display_scroll_coordinates
TASK045-PROCESS-ANOMALY-006,none,none,post_force_stop_checkpoint_capture,bounded_absent_process_log_marker,null_pid_helper_failure,phone-force-stopped-checkpoint-incomplete,tooling_defect,confirmed,confirmed,local_null_pid_handling,treat_absent_pid_as_expected_and_emit_sanitized_marker,true,null_pid_log_helper_gap
TASK045-PROCESS-ANOMALY-007,none,none,hardened_relational_validator_focused_suite,all_task045_contract_tests_pass,legacy_boundary_fixture_missing_attempt_relation,repository_test_runner,tooling_defect,confirmed,confirmed,validator_test_fixture_migration_gap,require_attempt_link_on_every_boundary_fixture_and_retain_first_failure,true,legacy_boundary_fixture_attempt_link_missing
TASK045-PROCESS-ANOMALY-008,none,none,first_sanitized_runtime_bundle_publish,guarded_ingest_publication,explicit_ingest_gate_required,repository_publish_guard,tooling_defect,confirmed,confirmed,required_authorization_flag_omitted,retain_fail_closed_gate_and_rerun_once_with_explicit_ingest_authorization,true,execute_gate_required_then_authorized
TASK045-PROCESS-ANOMALY-009,none,none,focused_anomaly_ledger_regression,all_task045_contract_tests_pass,stale_literal_anomaly_count,repository_test_runner,tooling_defect,confirmed,confirmed,test_fixture_count_literal,bind_ledger_count_assertion_to_typed_runtime_source,true,stale_anomaly_count_literal_remediated
TASK045-PROCESS-ANOMALY-010,none,none,freshness_and_core_declaration_focused_suite,all_task045_contract_tests_pass,three_stale_fixture_expectations,repository_test_runner,tooling_defect,confirmed,confirmed,validator_fixture_migration_gap,align_synthetic_run_timestamps_and_earliest_fail_closed_error_expectation,true,freshness_core_fixture_migration_remediated
TASK045-PROCESS-ANOMALY-011,none,none,final_build_provenance_adversarial_review,installed_newer_and_canonical_aliases_remain_distinct,build_alias_identity_collapse_accepted,repository_evidence_validator,tooling_defect,confirmed,confirmed,build_provenance_relation_guard_missing,pin_runtime_build_aliases_and_reject_installed_canonical_identity_collapse,true,build_alias_separation_false_pass_remediated
TASK045-RUNTIME-ANOMALY-001,none,none,ordinary_phone_full_install_update,canonical_install_success,version_downgrade_rejected,package_installer_external,blocked_by_external_state,confirmed,likely,environment_build_state_mismatch,separate_installed_newer_lane_and_require_build_gate,true,canonical_install_blocked_version_downgrade
TASK045-RUNTIME-ANOMALY-002,none,none,approved_catalog_scroll,stable_later_catalog_segment,partial_render_with_confirmed_visual_tree_mismatch,phone-catalog-partial-render-after-scroll,observed_fail,confirmed,hypothesis,render_timing_or_content_state,retain_visual_failure_and_allow_one_no_action_recovery,true,confirmed_screenshot_xml_mismatch_after_scroll
TASK045-RUNTIME-ANOMALY-003,none,none,focus_empty_catalog_search,ordinary_keyboard_only_state,external_keyboard_privacy_consent_overlay,external-keyboard-privacy-consent-overlay,blocked_by_product_boundary,confirmed,confirmed,external_system_keyboard_boundary,do_not_consent_or_enter_text_and_recover_with_back,true,external_keyboard_privacy_boundary
TASK045-RUNTIME-ANOMALY-004,none,none,disconnected_background_foreground_cycle,fully_rendered_catalog_on_return,partial_render_with_confirmed_visual_tree_mismatch,phone-catalog-partial-render-after-foreground,observed_fail,confirmed,hypothesis,render_timing_or_lifecycle_state,retain_lifecycle_failure_and_do_not_credit_paired_scenario,true,confirmed_screenshot_xml_mismatch_after_foreground
TASK045-RUNTIME-ANOMALY-005,none,none,final_security_evidence_eligibility_review,synthetic_session_fixture_verified_before_product_coverage,unknown_session_provenance_marked_as_confirmed_coverage,repository_evidence_eligibility_gate,blocked_by_fixture,confirmed,confirmed,evidence_eligibility_gate_omission,block_session_dependent_rows_by_fixture_until_synthetic_session_is_verified,true,unknown_session_evidence_ineligible_for_product_coverage
