row_id,alias,trigger_action,expected_result,observed_result,evidence_status,screen_alias,cause_level,cause_note,test_design_implication,product_impact
TASK058-PROCESS-ANOMALY-001,preflight_result_object_syntax_failure,preflight_result_projection,category_only_preflight_result,powershell_parser_error_before_execution,confirmed,not_observed_runtime_blocked,tooling,inline_expression_in_result_hashtable,precompute_values_before_result_construction,none
TASK058-PROCESS-ANOMALY-002,sdk_root_scalar_indexing_failure,android_tool_resolution,single_sdk_root_resolves,first_path_character_was_indexed,confirmed,not_observed_runtime_blocked,tooling,powershell_scalar_array_behavior,materialize_pipeline_as_array_before_indexing,none
TASK058-PROCESS-ANOMALY-003,combined_package_action_command_policy_rejection,combined_action_command,one_shot_package_sequence_runs,execution_policy_rejected_before_process_start,confirmed,not_observed_runtime_blocked,tooling,compound_command_policy,use_short_separately_verified_steps_with_shared_budget,none
TASK058-PROCESS-ANOMALY-004,postinstall_pull_stderr_raw_path_spill,postinstall_equivalence_pull,sanitized_equivalence_result,native_stderr_exposed_raw_path_and_interrupted_validation,confirmed,not_observed_runtime_blocked,tooling,native_progress_stderr_handling,capture_and_sanitize_native_stderr_before_projection,none
TASK058-PROCESS-ANOMALY-005,schema_validator_invocation_and_spec_marker_mismatch,focused_repository_validation,baseline_and_schema_validation_pass,task_spec_marker_and_repo_root_contract_were_incomplete,confirmed,not_observed_runtime_blocked,tooling,builder_contract_parity_gap,validate_static_markers_and_called_function_signatures_before_baseline_generation,none
TASK058-PROCESS-ANOMALY-006,report_manifest_unsupported_write_flag,report_manifest_regeneration,manifest_regenerates_with_supported_cli,unsupported_write_flag_returned_usage_error,confirmed,not_observed_runtime_blocked,tooling,cli_mode_assumption,inspect_supported_cli_before_regeneration_and_use_default_write_mode,none
TASK058-PROCESS-ANOMALY-007,qa_reviewer_read_only_baseline_rewrite,independent_qa_review,read_only_review_preserves_files,reviewer_invoked_deterministic_baseline_write,confirmed,not_observed_runtime_blocked,tooling,review_scope_command_mistake,regenerate_under_orchestrator_and_keep_review_commands_read_only,none
TASK058-PROCESS-ANOMALY-008,guessed_docs_checker_path_failure,independent_qa_docs_check,canonical_docs_checker_runs,guessed_nonexistent_checker_path_failed_before_execution,confirmed,not_observed_runtime_blocked,tooling,checker_path_assumption,locate_and_run_canonical_docs_checker_without_guessing_paths,none
TASK058-PROCESS-ANOMALY-009,qa_source_marker_regex_syntax_failure,independent_qa_source_marker_search,read_only_source_marker_search_runs,malformed_quoted_regex_rejected_before_search,confirmed,not_observed_runtime_blocked,tooling,powershell_regex_quoting_mistake,use_literal_searches_or_prevalidated_shell_quoting_during_review,none
TASK058-PROCESS-ANOMALY-010,qa_stop_instruction_coordination_wait,independent_qa_stop_instruction,reviewer_stops_all_tool_calls,reviewer_invoked_coordination_wait_after_stop_instruction,confirmed,not_observed_runtime_blocked,process,review_stop_boundary_mistake,return_verdict_without_further_tool_calls_after_explicit_stop,none
TASK058-PROCESS-ANOMALY-011,owner_action_top_level_schema_mismatch,owner_action_summary_projection,v2_summary_and_manifest_validate,unknown_top_level_field_blocked_summary_and_manifest_and_three_tests,confirmed,not_observed_runtime_blocked,tooling,v2_envelope_extension_assumption,encode_owner_actions_as_allowed_public_safe_unknown_records,none
