record_type,anomaly_id,anomaly_alias,category,classification,evidence_status,scenario_id,attempt_id,trigger_category,expected_result_category,observed_result_category,public_safe_screen_alias,cause_evidence_status,cause_category,test_design_implication,first_failure_retained,reason_code
known_recheck,known-loader_not_catalog,loader_not_catalog,loader,confirmed_defect,confirmed,QA-044-004,none,launch_after_ambient_recovery,actionable_catalog_within_120s,non_actionable_loader_timeout,app_loader_timeout,hypothesis,startup_state_or_external_dependency,retain_timeout_and_force_stop_recovery,true,reproduced_then_recovered
known_recheck,known-search_keyboard_trap,search_keyboard_trap,search,observed_fail,confirmed,QA-044-014,none,search_back_sequence,keyboard_close_and_focus_return,keyboard_remained_open,search_keyboard_trap,hypothesis,focus_or_back_routing,force_stop_fallback_with_first_failure_retained,true,reproduced_force_stop_recovery
known_recheck,known-settings_logout_route,settings_logout_route,settings,observed_fail,confirmed,QA-044-018,none,visual_gamepad_focus_select,gamepad_destination,logout_confirmation,logout_confirmation_accidental_route,hypothesis,visual_semantic_focus_mismatch,cancel_only_and_validate_route_before_select,true,reproduced_cancelled_without_mutation
runtime_anomaly,runtime-qa-044-002-1,qa-044-002-first-failure-1,runtime_oracle_mismatch,confirmed_defect,confirmed,QA-044-002,attempt-qa044-002-1,cold_launch,scenario_oracle_satisfied,loader_timeout,app_loader_timeout,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-003-1,qa-044-003-first-failure-1,runtime_oracle_mismatch,observed_fail,confirmed,QA-044-003,attempt-qa044-003-1,warm_foreground,scenario_oracle_satisfied,loader_recurrence,app_loader,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-004-1,qa-044-004-first-failure-1,runtime_oracle_mismatch,confirmed_defect,confirmed,QA-044-004,attempt-qa044-004-1,bounded_loader_wait,scenario_oracle_satisfied,non_actionable_timeout,app_loader_timeout,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-009-1,qa-044-009-first-failure-1,runtime_oracle_mismatch,observed_fail,confirmed,QA-044-009,attempt-qa044-009-1,bounded_grid_traversal,scenario_oracle_satisfied,loader_after_navigation,app_loader,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-014-1,qa-044-014-first-failure-1,runtime_oracle_mismatch,observed_fail,confirmed,QA-044-014,attempt-qa044-014-1,back_escape_sequence,scenario_oracle_satisfied,keyboard_trap_recurrence,search_keyboard_trap,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-015-1,qa-044-015-first-failure-1,runtime_oracle_mismatch,observed_fail,confirmed,QA-044-015,attempt-qa044-015-1,search_back_failure,scenario_oracle_satisfied,keyboard_trap_recurrence,search_keyboard_trap,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-017-1,qa-044-017-first-failure-1,runtime_oracle_mismatch,observed_fail,confirmed,QA-044-017,attempt-qa044-017-1,select_gamepad_visual_focus,scenario_oracle_satisfied,settings_no_navigation,settings_gamepad_select_noop,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-018-1,qa-044-018-first-failure-1,runtime_oracle_mismatch,observed_fail,confirmed,QA-044-018,attempt-qa044-018-1,semantic_refocus_and_select,scenario_oracle_satisfied,logout_confirmation,logout_confirmation_accidental_route,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-021-1,qa-044-021-first-failure-1,runtime_oracle_mismatch,observed_fail,confirmed,QA-044-021,attempt-qa044-021-1,open_approved_boundary,scenario_oracle_satisfied,payment_qr_boundary,payment_qr_boundary,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-022-1,qa-044-022-first-failure-1,runtime_oracle_mismatch,observed_fail,confirmed,QA-044-022,attempt-qa044-022-1,local_jsqr_decode_no_traversal,scenario_oracle_satisfied,payment_target_category_recorded,payment_qr_boundary,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-023-1,qa-044-023-first-failure-1,runtime_oracle_mismatch,observed_fail,confirmed,QA-044-023,attempt-qa044-023-1,back_navigation,scenario_oracle_satisfied,payment_boundary_unchanged,payment_qr_boundary,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-026-1,qa-044-026-first-failure-1,runtime_oracle_mismatch,observed_fail,confirmed,QA-044-026,attempt-qa044-026-1,observe_ambient_interruption,scenario_oracle_satisfied,ambient_external,ambient_screensaver_external,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
runtime_anomaly,runtime-qa-044-032-1,qa-044-032-first-failure-1,runtime_oracle_mismatch,observed_fail,confirmed,QA-044-032,attempt-qa044-032-1,closure_checkpoint,scenario_oracle_satisfied,connection_error,app_connection_error,hypothesis,product_or_runtime_state,retain_first_failure_and_recheck_on_tv,true,fresh_physical_oracle_failure
