task_id,"scenario_id",attempt_id,apk_family,"device_profile_alias",build_set_alias,"pre_state","action","observed_state","scenario_status","evidence_status","evidence_type","evidence_ids","anomaly_ids","cleanup_status","blocker_category","started_at","ended_at","public_safe_note"
TASK-041,QA-041-001,static-001,"not_applicable","not_applicable","repo-main-base-50dca155","tracked_repository_state","execute_full_repository_verification","full_repository_gate_satisfied","observed_pass","confirmed","static_contract","docs/qa/reports/task041_epic_integration.verification.md;focused-144-pass-1-skip;full-938-pass-2-skip;docs-170;public-safety-322","TASK041-PROCESS-ANOMALY-002","not_applicable",,2026-07-17T00:00:00Z,2026-07-17T00:00:00Z,"initial parallel temp-Git fixture failure remains recorded; authoritative focused/full reruns were sequential and passed"
TASK-041,QA-041-002,static-002,"not_applicable","not_applicable","repo-task041-final-pre-review","clean_committed_repository","create_validate_unpack_and_verify_official_zip","portable_no_git_gate_satisfied","observed_pass","confirmed","static_contract","docs/qa/reports/task041_epic_integration.verification.md;official-clean-pre-review;full-938-pass-2-skip;docs-170;public-safety-323","TASK041-PROCESS-ANOMALY-001","not_applicable",,2026-07-17T00:00:00Z,2026-07-17T00:00:00Z,"first no-git tree correctly failed TREE_EXTRA_FILE after cache/bytecode mutation; fresh no-cache external-bytecode rerun passed without weakening authority"
TASK-041,QA-041-003,static-001,"not_applicable","not_applicable","repo-main-base-50dca155","tracked_repository_state","execute_static_validator_and_adversarial_test","static_oracle_satisfied","observed_pass","confirmed","static_contract","docs/qa/reports/task041_epic_integration.verification.md;tests/test_official_export_index.py;automation/quality/official_export_index.py",,"not_applicable",,2026-07-17T00:00:00Z,2026-07-17T00:00:00Z,"confirmed for the recorded static check only"
TASK-041,QA-041-004,static-001,"not_applicable","not_applicable","repo-main-base-50dca155","tracked_repository_state","execute_static_validator_and_adversarial_test","static_oracle_satisfied","observed_pass","confirmed","static_contract","docs/qa/reports/task041_epic_integration.verification.md;tests/test_official_export_index.py;automation/quality/official_export_index.py",,"not_applicable",,2026-07-17T00:00:00Z,2026-07-17T00:00:00Z,"confirmed for the recorded static check only"
TASK-041,QA-041-005,static-001,"not_applicable","not_applicable","repo-main-base-50dca155","tracked_repository_state","execute_static_validator_and_adversarial_test","static_oracle_satisfied","observed_pass","confirmed","static_contract","docs/qa/reports/task041_epic_integration.verification.md;tests/test_official_export_index.py;automation/quality/official_export_index.py",,"not_applicable",,2026-07-17T00:00:00Z,2026-07-17T00:00:00Z,"confirmed for the recorded static check only"
TASK-041,QA-041-006,static-001,"not_applicable","not_applicable","repo-main-base-50dca155","tracked_repository_state","execute_static_validator_and_adversarial_test","static_oracle_satisfied","observed_pass","confirmed","static_contract","docs/qa/reports/task041_epic_integration.verification.md;tests/test_official_export_index.py;automation/quality/official_export_index.py",,"not_applicable",,2026-07-17T00:00:00Z,2026-07-17T00:00:00Z,"confirmed for the recorded static check only"
TASK-041,QA-041-007,static-001,"not_applicable","not_applicable","repo-main-base-50dca155","tracked_repository_state","execute_static_validator_and_adversarial_test","static_oracle_satisfied","observed_pass","confirmed","static_contract","docs/qa/reports/task041_epic_integration.verification.md;tests/test_official_export_index.py;automation/quality/official_export_index.py",,"not_applicable",,2026-07-17T00:00:00Z,2026-07-17T00:00:00Z,"confirmed for the recorded static check only"
TASK-041,QA-041-008,static-001,"not_applicable","not_applicable","repo-main-base-50dca155","tracked_repository_state","execute_static_validator_and_adversarial_test","static_oracle_satisfied","observed_pass","confirmed","static_contract","docs/qa/reports/task041_epic_integration.verification.md;tests/test_official_export_index.py;automation/quality/official_export_index.py",,"not_applicable",,2026-07-17T00:00:00Z,2026-07-17T00:00:00Z,"confirmed for the recorded static check only"
TASK-041,QA-041-009,static-001,"not_applicable","not_applicable","repo-main-base-50dca155","tracked_repository_state","execute_static_validator_and_adversarial_test","static_oracle_satisfied","observed_pass","confirmed","static_contract","docs/qa/reports/task041_epic_integration.verification.md;tests/test_official_export_index.py;automation/quality/official_export_index.py",,"not_applicable",,2026-07-17T00:00:00Z,2026-07-17T00:00:00Z,"confirmed for the recorded static check only"
TASK-041,QA-041-010,static-001,"not_applicable","not_applicable","repo-main-base-50dca155","tracked_repository_state","execute_hygiene_public_safety_and_docs_gates","combined_static_gate_satisfied","observed_pass","confirmed","static_contract","docs/qa/reports/task041_epic_integration.verification.md;docs-169;hygiene-default-pass;hygiene-public-pass;public-safety-321",,"not_applicable",,2026-07-17T00:00:00Z,2026-07-17T00:00:00Z,"combined repository-only static gates confirmed before final review"
