scenario_id,priority,surface_ids,scenario_status,evidence_type,evidence_status,justification_code
QA-043-001,P0,SURF-RELEASE-002,observed_pass,static_contract,confirmed,registry_schema_validated
QA-043-002,P0,SURF-RELEASE-002,observed_pass,static_contract,confirmed,public_safety_guards_validated
QA-043-003,P0,SURF-RELEASE-002,observed_pass,static_contract,confirmed,surface_scenario_reverse_map_validated
QA-043-004,P0,SURF-RELEASE-002,observed_pass,static_contract,confirmed,historical_manifest_projection_generated
QA-043-005,P0,SURF-RELEASE-001,observed_pass,static_contract,confirmed,prior_build_stale_default_validated
QA-043-006,P0,SURF-RELEASE-001,observed_pass,static_contract,confirmed,explicit_compatibility_rule_validated_synthetically
QA-043-007,P0,SURF-RELEASE-001,observed_pass,static_contract,confirmed,mapped_only_false_pass_rejected
QA-043-008,P0,SURF-RELEASE-001,observed_pass,static_contract,confirmed,blocked_false_pass_rejected
QA-043-009,P0,SURF-RELEASE-001,observed_pass,static_contract,confirmed,retry_failure_preservation_validated
QA-043-010,P0,SURF-RELEASE-001,observed_pass,static_contract,confirmed,synthetic_physical_substitution_rejected
QA-043-011,P0,SURF-RELEASE-001,observed_pass,static_contract,confirmed,avd_oem_substitution_rejected
QA-043-012,P0,SURF-RELEASE-002,observed_pass,static_contract,confirmed,family_specific_selection_validated
QA-043-013,P0,SURF-RELEASE-002,observed_pass,static_contract,confirmed,shared_family_selection_validated
QA-043-014,P1,SURF-RELEASE-002,observed_pass,static_contract,confirmed,device_equivalence_selection_validated
QA-043-015,P0,SURF-RELEASE-002,observed_pass,static_contract,confirmed,unknown_status_fail_closed
QA-043-016,P0,SURF-LOG-001,observed_pass,static_contract,confirmed,public_evidence_reference_policy_validated
QA-043-017,P1,SURF-RELEASE-002,observed_pass,static_contract,confirmed,gap_counts_reconciled
QA-043-018,P0,SURF-RELEASE-002,observed_pass,static_contract,confirmed,task044_selection_generated
