scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-052-001,P0,SURF-INPUT-001,TV/STB,remote,D-pad cardinal directions,focusable screen,send one bounded direction at a time,visual focus movement/boundary/no-op explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-002,P0,SURF-INPUT-001,TV/STB,remote,Center/select action,safe focused target,press center,correct non-destructive action or safe no-op,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-003,P0,SURF-INPUT-001,TV/STB,remote,Back behavior,multiple screens,press Back,parent/dialog/exit behavior per graph,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-004,P1,SURF-INPUT-001,TV/STB,remote,Long/repeated D-pad input,long list safe,bounded long/repeat input,no runaway focus/ANR; final position classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-005,P0,SURF-SEARCH-002;SURF-INPUT-002,TV flavors,keyboard,Keyboard open/input/close,Search input reachable,"open, type safe text, Back/Escape",keyboard and app focus recover,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-006,P0,SURF-INPUT-002,TV flavors,keyboard,External keyboard key mapping,approved keyboard connected or synthetic class explicitly labelled,send arrows/enter/escape,mapping recorded; synthetic not physical,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-007,P0,SURF-INPUT-003,physical gamepad,preflight,Physical controller inventory and alias,device paired; local mapping,record category/capabilities local-only,physical readiness explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-008,P0,SURF-INPUT-003,physical gamepad,gamepad,Known controller navigation,known controller ready,navigate safe screens,buttons/axes/focus mapping observed,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-009,P1,SURF-INPUT-003,physical gamepad,gamepad,Unknown/ambiguous controller fallback,approved controller with noncanonical name available,connect and inspect behavior,no false known classification; fallback explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-010,P0,SURF-INPUT-003,physical gamepad,lifecycle,Hotplug while app foreground,app stable,connect/disconnect controller,UI/focus/device state update and cleanup,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-011,P0,SURF-INPUT-003,physical gamepad,lifecycle,Reconnect after disconnect,controller removed,reconnect,mapping/focus restored without duplicate device,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-012,P1,SURF-INPUT-003,physical gamepad,lifecycle,Controller present at cold launch,controller connected,force-stop/launch app,initial detection/focus behavior,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-013,P1,SURF-INPUT-003,physical gamepad,lifecycle,Background/foreground with controller,controller active,Home/return,input ownership restored,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-052-014,P0,SURF-INPUT-004;SURF-PAIR-002,virtual gamepad,virtual,Virtual control enablement,paired/unpaired states available,inspect controls before/after pair,disabled/enabled semantics explicit,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
