scenario_id,priority,branch_alias,screen_family,transition_family,session_scope,approved_scope,requires_tv,boundary_category,evidence_requirement
A001,P0,prior-audit-quarantine,prior_audit,quarantine_ingest,session_independent,true,false,none,category_only_audit_never_product_coverage
A002,P0,cold-launch-auth-guard,launch_auth,cold_launch_to_auth_guard,session_dependent,true,false,account,fresh_visual_triplet_and_synthetic_session
A003,P0,catalog-initial,catalog,catalog_initial_observation,session_dependent,true,false,none,fresh_visual_triplet_and_synthetic_session
A004,P0,catalog-long-list,catalog,catalog_initial_to_later_segment,session_dependent,true,false,none,initial_and_later_visual_triplets
A005,P0,catalog-menu-states,catalog_menu,menu_expand_collapse,session_dependent,true,false,none,expanded_and_collapsed_visual_triplets
A006,P0,search-overlay-recovery,search,search_focus_overlay_recovery,session_dependent,true,false,external_system,no_consent_or_text_entry
A007,P0,history-long-list,history,history_initial_to_later_segment,session_dependent,true,false,none,initial_and_later_visual_triplets
A008,P0,profile-settings-help-legal,account_navigation,profile_settings_help_legal,session_dependent,true,false,account,no_account_profile_logout_mutation
A009,P0,game-detail,game_detail,catalog_to_game_detail,session_dependent,true,false,session,no_paid_or_active_session_start
A010,P0,promo-detail,promo_detail,catalog_to_promo_detail,session_dependent,true,false,external_system,no_external_traversal
A011,P0,no-tv-connection-state,connection,launch_to_no_tv_state,session_independent,true,false,none,explicit_safe_no_tv_oracle
A012,P0,preconnection-gamepad,virtual_gamepad,no_tv_to_gamepad_guard,session_independent,true,false,session,explicit_safe_preconnection_oracle
A013,P0,background-foreground-recurrence,lifecycle,background_foreground_recurrence,session_dependent,true,false,none,fresh_pre_and_post_visual_triplets
A014,P0,force-stop-relaunch,lifecycle,force_stop_relaunch,session_dependent,true,false,none,first_failure_and_recovery_retained
A015,P0,payment-qr-external-boundaries,boundary,boundary_classify_and_recover,session_dependent,true,false,payment_or_external,no_payment_session_or_traversal
A016,P0,paired-tv-only,paired,phone_tv_pairing,paired_only,true,true,paired,missing_tv_must_block
A017,P0,cleanup-and-closure,cleanup,final_cleanup_and_graph_closure,session_independent,true,false,none,force_stop_home_preserve_session_no_mutation
