scenario_id,priority,surface_ids,lane,category,scenario_status,evidence_type,evidence_status,primary_blocker,secondary_blockers,justification,runtime_executed,product_coverage_counted
QA-048-001,P0,SURF-LAUNCHER-001,FogPlay Stick,preflight,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,authoritative_target_mapping_missing,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-002,P0,SURF-LAUNCHER-001,FogPlay Stick,inventory,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,launcher_component_mapping_missing,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-003,P0,SURF-INSTALL-001,FogPlay Stick,intake,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,aosp_artifact_not_inspected_repository_only,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-004,P0,SURF-LAUNCHER-002,FogPlay Stick,boot,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,reboot_not_authorized_without_exact_target,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-005,P0,SURF-LAUNCHER-002,FogPlay Stick,home,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,home_ownership_not_observed,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-006,P0,SURF-LAUNCHER-003;SURF-FOCUS-001,FogPlay Stick,focus,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,launcher_focus_not_observed,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-007,P0,SURF-LAUNCHER-003,FogPlay Stick,navigation,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,launcher_windows_not_observed,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-008,P0,SURF-LAUNCHER-003,FogPlay Stick,integration,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,aosp_launcher_transition_not_observed,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-009,P0,SURF-NAV-002;SURF-LAUNCHER-003,FogPlay Stick,integration,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,launcher_return_transition_not_observed,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-010,P0,SURF-LAUNCHER-004;SURF-PERSIST-002,FogPlay Stick,lifecycle,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,process_recovery_not_authorized_without_exact_target,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-011,P0,SURF-LAUNCHER-004,FogPlay Stick,setup,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,setup_fixture_and_safe_route_not_verified,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-012,P0,SURF-LAUNCHER-004,FogPlay Stick,negative,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,setup_reentry_not_observed,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-013,P1,SURF-IPC-001,FogPlay Stick,system,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,launcher_service_mapping_missing,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-014,P1,SURF-IPC-002,FogPlay Stick,negative,blocked_by_product_boundary,static_contract,unknown,approved_public_component_contract_missing,actual_stick_mapping_missing,No approved public-safe component contract exists; unauthorized or malformed invocation was not attempted.,false,false
QA-048-015,P1,SURF-LAUNCHER-004,FogPlay Stick,system,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,ambient_wake_recovery_not_observed,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-016,P1,SURF-PERSIST-002,FogPlay Stick,lifecycle,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,service_restart_not_authorized_without_exact_target,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-017,P0,SURF-LOG-001,FogPlay Stick,privacy,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,runtime_log_evidence_absent,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-018,P0,SURF-PERF-001,FogPlay Stick,stability,blocked_by_device,static_contract,unknown,actual_stick_mapping_missing,crash_anr_signal_evidence_absent,"The approved exact FogPlay Stick mapping is absent and physical availability remains unknown; no generic TV, phone, AVD, historical profile, plan, or static artifact substitutes for runtime evidence.",false,false
QA-048-019,P0,SURF-RELEASE-001,FogPlay Stick,closure,observed_pass,static_contract,confirmed,,runtime_lane_remains_blocked,The repository-only authority terminally reconciles all 19 rows; this is static closure only and grants no product or release PASS.,false,false
